code	english	definition	translation
11157	agricultural disaster	"Violent, sudden and destructive change in the environment either affecting or caused by land cultivation or the raising of crops or livestock."	kənd təsərrüfatına ziyan vuran fəlakət
11158	agricultural undervaluation	The underrating or diminishing in value of agricultural or farming goods and services.	kənd təsərrüfatı məhsullarına qiymətlərin aşağı salınması
11159	rural development	"Any course destined to promote economic growth, modernization, increase in agricultural production and the creation of a framework in which to fulfill primary needs, such as education, health and supply of water in the rural areas. The attainment of such objectives depends in general on the type of administrative systems proposed for the various programmes and on the national political situation as regards, for instance land tenure, agrarian reform, the disbursement of assistance and food policy."	kənd ərazilərinin inkişafı
11165	agricultural hydraulics	"Science and technology involved in the management of water resources, in the control of erosion and in the removal of unwanted water."	meliorasiya
11170	farming technique	"The business, art, or skill of agriculture."	kənd təsərrüfatı üsulları
11177	forage crop	Cultivation of crops for consumption by livestock.	yem bitkisi
11178	market gardening	The business of growing fruit and vegetables on a commercial scale.	satış üçün meyvə və tərəvəz istehsalı
11184	seed (product)	A fertilized ovule containing an embryo which forms a new plant upon germination.	toxum
11186	crop treatment	Use of chemicals in order to avoid damage of crops by insects or weeds.	kənd təsərrüfatı bitkilərinin kimyəvi maddələr vasitəsilə emalı
11187	phytosanitary treatment	"Removal of heavy metals from water by the employment of plants or treatment by which plant organisms act to degrade hazardous organic contaminants or transform hazardous inorganic contaminants to environmentally safe levels in soils, subsurface materials, water, sludges, and residues."	fitosanitar emal
11192	aviculture	"The raising, keeping, and care of birds."	quşculuq
11198	breeding technique	Term referring to the systems employed in animal rearing (extensive and intensive).	heyvandarlıq üsulları
11199	transhumance	The seasonal migration of livestock to suitable grazing grounds.	mal-qaranın yeni otlaqlara mövsümi sürülməsi
11201	mineral conditioner	"Any naturally occurring inorganic substances with a definite chemical composition and usually of crystalline structure, such as rocks, which are used to stabilize soil, improving its resistance to erosion, texture and permeability."	mineral əlavə
11204	draining	"The removal of water from a marshy area by artificial means, e.g. the introduction of drains."	qurutma
11206	slash and burn culture	"A traditional farming system that has been used by generations of farmers in tropical forests and the savannah of north and east Africa. It is known to be an ecologically sound form of cultivation, and because the soil is poor in tropical rain forests it is a sustainable method of farming. It is still practised today, primarily in the developing countries. Small areas of bush or forests are cleared and the smaller trees burned. This unlocks the nutrients in the vegetation and gives the soil fertilizer that is easily taken up by plants. A few years later the soil is degraded and the farmer moves on to do the same at another site. The original ground is left fallow for anything up to 20 years so that the forest can regenerate. With the growth in population and in the subsequent need for more farming land to produce food, the method is increasingly being used today to clear large areas of tropical forests for cattle ranching, and in most cases the ground is not left fallow for long enough and, with modern mechanized farming systems, not enough tree stumps or suitable habitats for plant life are left to start the regeneration process."	Kənd təsərrüfatı sahələrinin artırılması metodu kimi meşələrin kəsilməsi və yandırılması 
